Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11.4, 1,    6546.19,   -1.9,   0.99459, 2,    6545.62, -122.0,    0.9945, 3,     6545.6,  118.0,    0.9945
"2", 11.4, 1,    6470.15,   -3.1,   0.98304, 2,    6466.98, -123.1,   0.98256, 3,    6467.06,  116.9,   0.98257
"3", 11.4, 1,    6443.03,   -4.0,   0.97892, 2,    6437.83, -124.1,   0.97813, 3,    6439.92,  115.9,   0.97844
"4", 11.4, 1,    6428.79,   -4.3,   0.97675, 2,    6422.76, -124.3,   0.97584, 3,    6425.68,  115.6,   0.97628
"5", 11.4, 1,    6425.95,   -4.3,   0.97632, 2,    6419.76, -124.4,   0.97538, 3,    6422.85,  115.6,   0.97585
"6", 11.4, 1,     6397.4,   -4.7,   0.97198, 2,    6391.26, -124.8,   0.97105, 3,    6394.37,  115.2,   0.97152
"7", 11.4, 1,     6397.4,   -4.7,   0.97198, 2,    6391.26, -124.8,   0.97105, 3,    6394.37,  115.2,   0.97152
"8", 11.4, 1,    6430.44,   -4.3,     0.977, 2,    6418.21, -124.4,   0.97515, 3,    6423.75,  115.6,   0.97599
"9", 0.22, 1,    124.616,   -3.6,    0.9811, 0, 0, 0, 0, 0, 0, 0, 0
"10", 0.22, 1,    127.026,   -1.4,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
