Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11.4, 1,    6537.63,   -0.5,   0.99329, 2,    6537.63, -120.5,   0.99329, 3,    6537.63,  119.5,   0.99329
"2", 11.4, 1,    6504.92,   -0.6,   0.98832, 2,    6504.92, -120.6,   0.98832, 3,    6504.92,  119.4,   0.98832
"3", 11.4, 1,    6478.49,   -0.8,    0.9843, 2,    6478.49, -120.8,    0.9843, 3,    6478.49,  119.2,    0.9843
"4", 0.38, 1,    217.258,    0.4,   0.99027, 2,    217.258, -119.6,   0.99027, 3,    217.258,  120.4,   0.99027
