Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11.4, 1,    6570.21,   -0.3,   0.99824, 2,    6570.21, -120.3,   0.99824, 3,    6570.21,  119.7,   0.99824
"2", 11.4, 1,     6547.4,   -0.8,   0.99478, 2,     6547.4, -120.8,   0.99478, 3,     6547.4,  119.2,   0.99478
"3", 11.4, 1,     6547.4,   -0.8,   0.99478, 2,     6547.4, -120.8,   0.99478, 3,     6547.4,  119.2,   0.99478
