Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11.4, 1,    6534.26,   -0.6,   0.99278, 2,    6534.26, -120.6,   0.99278, 3,    6534.26,  119.4,   0.99278
"2", 11.4, 1,    6497.29,   -0.8,   0.98716, 2,    6497.29, -120.8,   0.98716, 3,    6497.29,  119.2,   0.98716
"3", 11.4, 1,    6466.22,   -1.1,   0.98244, 2,    6466.22, -121.1,   0.98244, 3,    6466.22,  118.9,   0.98244
"4", 0.38, 1,    215.541,   -1.1,   0.98244, 2,    215.541, -121.1,   0.98244, 3,    215.541,  118.9,   0.98244
