Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11.4, 1,    6511.48,   -0.9,   0.98932, 2,    6511.48, -120.9,   0.98932, 3,    6511.48,  119.1,   0.98932
"2", 11.4, 1,    6437.43,   -1.3,   0.97807, 2,    6437.43, -121.3,   0.97807, 3,    6437.43,  118.7,   0.97807
"3", 11.4, 1,    6402.64,   -1.6,   0.97278, 2,    6402.64, -121.6,   0.97278, 3,    6402.64,  118.4,   0.97278
"4", 11.4, 1,    6382.25,   -1.9,   0.96968, 2,    6382.25, -121.9,   0.96968, 3,    6382.25,  118.1,   0.96968
"5", 11.4, 1,    6375.85,   -1.9,   0.96871, 2,    6375.85, -121.9,   0.96871, 3,    6375.85,  118.1,   0.96871
"6", 11.4, 1,    6336.87,   -2.6,   0.96279, 2,    6336.87, -122.6,   0.96279, 3,    6336.87,  117.4,   0.96279
"7", 11.4, 1,    6355.63,   -2.5,   0.96564, 2,    6355.63, -122.5,   0.96564, 3,    6355.63,  117.5,   0.96564
"8", 11.4, 1,    6353.77,   -2.4,   0.96536, 2,    6353.77, -122.4,   0.96536, 3,    6353.77,  117.6,   0.96536
"9", 11.4, 1,    6359.36,   -2.3,    0.9662, 2,    6359.36, -122.3,    0.9662, 3,    6359.36,  117.7,    0.9662
